"X(um)","Z(um)"
"5242.849 ","42.882 "
"5266.466 ","41.087 "
"5290.082 ","39.226 "
"5313.698 ","37.230 "
"5337.315 ","35.161 "
"5360.931 ","32.900 "
"5384.548 ","30.524 "
"5408.164 ","28.042 "
"5431.781 ","25.505 "
"5455.397 ","22.873 "
"5479.013 ","20.185 "
"5502.630 ","17.476 "
"5526.246 ","14.880 "
"5549.863 ","12.418 "
"5573.479 ","10.071 "
"5597.096 ","7.850 "
"5620.712 ","5.774 "
"5644.329 ","3.755 "
"5667.945 ","1.775 "
"5691.561 ","-0.193 "
"5715.178 ","-2.247 "
"5738.794 ","-4.378 "
"5762.411 ","-6.529 "
"5786.027 ","-8.747 "
"5809.644 ","-10.966 "
"5833.260 ","-13.143 "
"5856.876 ","-15.296 "
"5880.493 ","-17.296 "
"5904.109 ","-19.175 "
"5927.726 ","-20.984 "
"5951.342 ","-22.784 "
"5974.959 ","-24.616 "
"5998.575 ","-26.474 "
"6022.192 ","-28.410 "
"6045.808 ","-30.462 "
"6069.424 ","-32.641 "
"6093.041 ","-34.823 "
"6116.657 ","-36.921 "
"6140.274 ","-38.793 "
"6163.890 ","-40.279 "
"6187.507 ","-40.740 "
"6211.123 ","-39.160 "
"6234.739 ","-34.766 "
"6258.356 ","-28.226 "
"6281.972 ","-20.583 "
"6305.589 ","-12.688 "
"6329.205 ","-5.419 "
"6352.822 ","0.504 "
"6376.438 ","4.755 "
"6400.055 ","7.738 "
"6423.671 ","11.038 "
"6447.287 ","15.379 "
"6470.904 ","20.614 "
"6494.520 ","26.354 "
"6518.137 ","32.075 "
"6541.753 ","37.260 "
"6565.370 ","41.335 "
"6588.986 ","44.177 "
"6612.602 ","45.930 "
"6636.219 ","46.723 "
"6659.835 ","46.676 "
"6683.452 ","46.108 "
"6707.068 ","45.172 "
"6730.685 ","44.212 "
"6754.301 ","43.292 "
"6777.918 ","42.423 "
"6801.534 ","41.538 "
"6825.150 ","40.518 "
"6848.767 ","39.202 "
"6872.383 ","37.629 "
"6896.000 ","35.793 "
"6919.616 ","33.719 "
"6943.233 ","31.480 "
"6966.849 ","29.103 "
"6990.465 ","26.686 "
"7014.082 ","24.211 "
"7037.698 ","21.719 "
"7061.315 ","19.226 "
"7084.931 ","16.709 "
"7108.548 ","14.204 "
"7132.164 ","11.663 "
"7155.781 ","9.050 "
"7179.397 ","6.403 "
"7203.013 ","3.786 "
"7226.630 ","1.248 "
"7250.246 ","-1.175 "
"7273.863 ","-3.473 "
"7297.479 ","-5.728 "
"7321.096 ","-7.932 "
"7344.712 ","-10.142 "
"7368.328 ","-12.411 "
"7391.945 ","-14.733 "
