"X(um)","Z(um)"
"0.000 ","-27.413 "
"23.592 ","-25.717 "
"47.184 ","-23.759 "
"70.776 ","-21.641 "
"94.369 ","-19.517 "
"117.961 ","-17.440 "
"141.553 ","-15.400 "
"165.145 ","-13.410 "
"188.737 ","-11.321 "
"212.329 ","-8.953 "
"235.921 ","-6.197 "
"259.513 ","-3.178 "
"283.106 ","-0.018 "
"306.698 ","3.248 "
"330.290 ","6.505 "
"353.882 ","9.619 "
"377.474 ","12.581 "
"401.066 ","15.504 "
"424.658 ","18.411 "
"448.251 ","21.316 "
"471.843 ","24.072 "
"495.435 ","26.628 "
"519.027 ","29.214 "
"542.619 ","32.095 "
"566.211 ","35.455 "
"589.803 ","39.463 "
"613.396 ","44.161 "
"636.988 ","49.702 "
"660.580 ","56.276 "
"684.172 ","63.673 "
"707.764 ","69.975 "
"731.356 ","72.551 "
"754.948 ","72.551 "
"778.540 ","72.551 "
"802.133 ","72.551 "
"825.725 ","64.813 "
"849.317 ","39.865 "
"872.909 ","-1.373 "
"896.501 ","-27.519 "
"920.093 ","-27.519 "
"943.685 ","-27.519 "
"967.278 ","-27.519 "
"990.870 ","-26.376 "
"1014.462 ","-23.466 "
"1038.054 ","-20.570 "
"1061.646 ","-18.748 "
"1085.238 ","-17.770 "
"1108.830 ","-17.263 "
"1132.422 ","-16.906 "
"1156.015 ","-16.503 "
"1179.607 ","-15.899 "
"1203.199 ","-15.108 "
"1226.791 ","-14.168 "
"1250.383 ","-13.114 "
"1273.975 ","-11.858 "
"1297.567 ","-10.385 "
"1321.160 ","-8.765 "
"1344.752 ","-7.052 "
"1368.344 ","-5.287 "
"1391.936 ","-3.418 "
"1415.528 ","-1.578 "
"1439.120 ","0.114 "
"1462.712 ","1.757 "
"1486.305 ","3.367 "
"1509.897 ","5.020 "
"1533.489 ","6.782 "
"1557.081 ","8.512 "
"1580.673 ","10.332 "
"1604.265 ","12.318 "
"1627.857 ","14.367 "
"1651.449 ","16.570 "
"1675.042 ","19.069 "
"1698.634 ","22.023 "
"1722.226 ","25.366 "
"1745.818 ","28.968 "
"1769.410 ","32.733 "
"1793.002 ","36.676 "
"1816.594 ","41.064 "
"1840.187 ","45.976 "
"1863.779 ","51.626 "
"1887.371 ","58.332 "
"1910.963 ","66.097 "
"1934.555 ","74.670 "
"1958.147 ","83.457 "
"1981.739 ","88.569 "
"2005.331 ","97.287 "
"2028.924 ","105.911 "
"2052.516 ","105.911 "
"2076.108 ","105.911 "
"2099.700 ","65.506 "
"2123.292 ","-1.746 "
"2146.884 ","-27.519 "
"2170.476 ","-27.519 "
"2194.069 ","-27.519 "
"2217.661 ","-26.844 "
"2241.253 ","-24.236 "
"2264.845 ","-22.003 "
"2288.437 ","-21.466 "
"2312.029 ","-20.904 "
"2335.621 ","-20.404 "
"2359.214 ","-20.079 "
"2382.806 ","-19.928 "
"2406.398 ","-19.790 "
"2429.990 ","-19.607 "
"2453.582 ","-19.381 "
"2477.174 ","-18.998 "
"2500.766 ","-18.374 "
"2524.358 ","-17.545 "
"2547.951 ","-16.509 "
"2571.543 ","-15.282 "
"2595.135 ","-14.002 "
"2618.727 ","-12.647 "
"2642.319 ","-11.187 "
"2665.911 ","-9.689 "
"2689.503 ","-8.131 "
"2713.096 ","-6.561 "
"2736.688 ","-5.040 "
"2760.280 ","-3.497 "
"2783.872 ","-1.931 "
"2807.464 ","-0.320 "
"2831.056 ","1.395 "
"2854.648 ","3.313 "
"2878.241 ","5.453 "
"2901.833 ","7.845 "
"2925.425 ","10.517 "
"2949.017 ","13.334 "
"2972.609 ","16.322 "
"2996.201 ","19.639 "
"3019.793 ","23.305 "
"3043.385 ","27.389 "
"3066.978 ","31.892 "
"3090.570 ","36.992 "
"3114.162 ","43.092 "
"3137.754 ","50.415 "
"3161.346 ","59.034 "
"3184.938 ","68.248 "
"3208.530 ","77.108 "
"3232.123 ","76.932 "
"3255.715 ","72.551 "
"3279.307 ","72.551 "
"3302.899 ","42.910 "
"3326.491 ","-23.931 "
"3350.083 ","-60.879 "
"3373.675 ","-60.879 "
"3397.267 ","-56.487 "
"3420.860 ","-50.174 "
"3444.452 ","-46.426 "
"3468.044 ","-43.353 "
"3491.636 ","-41.557 "
"3515.228 ","-41.081 "
"3538.820 ","-41.068 "
"3562.412 ","-40.924 "
"3586.005 ","-40.440 "
"3609.597 ","-39.553 "
"3633.189 ","-38.205 "
"3656.781 ","-36.439 "
"3680.373 ","-34.502 "
"3703.965 ","-32.463 "
"3727.557 ","-30.344 "
"3751.150 ","-28.252 "
"3774.742 ","-26.125 "
"3798.334 ","-23.990 "
"3821.926 ","-21.877 "
"3845.518 ","-19.721 "
"3869.110 ","-17.627 "
"3892.702 ","-15.572 "
"3916.294 ","-13.540 "
"3939.887 ","-11.578 "
