"X(um)","Z(um)"
"5315.749 ","-31.455 "
"5339.374 ","-32.727 "
"5363.000 ","-33.867 "
"5386.625 ","-34.779 "
"5410.251 ","-35.522 "
"5433.876 ","-36.254 "
"5457.502 ","-37.098 "
"5481.128 ","-37.968 "
"5504.753 ","-38.822 "
"5528.379 ","-39.820 "
"5552.004 ","-40.952 "
"5575.630 ","-42.084 "
"5599.255 ","-43.123 "
"5622.881 ","-43.947 "
"5646.506 ","-44.342 "
"5670.132 ","-43.899 "
"5693.757 ","-41.961 "
"5717.383 ","-37.730 "
"5741.009 ","-31.389 "
"5764.634 ","-23.826 "
"5788.260 ","-16.114 "
"5811.885 ","-9.396 "
"5835.511 ","-4.351 "
"5859.136 ","-1.275 "
"5882.762 ","-0.385 "
"5906.387 ","-0.091 "
"5930.013 ","1.352 "
"5953.639 ","4.398 "
"5977.264 ","8.637 "
"6000.890 ","13.413 "
"6024.515 ","17.940 "
"6048.141 ","21.432 "
"6071.766 ","23.419 "
"6095.392 ","23.975 "
"6119.017 ","23.606 "
"6142.643 ","22.876 "
"6166.268 ","22.221 "
"6189.894 ","21.656 "
"6213.520 ","21.123 "
"6237.145 ","20.578 "
"6260.771 ","19.899 "
"6284.396 ","18.816 "
"6308.022 ","17.441 "
"6331.647 ","15.900 "
"6355.273 ","14.306 "
"6378.898 ","12.782 "
"6402.524 ","11.317 "
"6426.150 ","9.816 "
"6449.775 ","8.248 "
"6473.401 ","6.512 "
"6497.026 ","4.589 "
"6520.652 ","2.538 "
"6544.277 ","0.408 "
"6567.903 ","-1.754 "
"6591.528 ","-3.899 "
"6615.154 ","-5.993 "
"6638.779 ","-8.109 "
"6662.405 ","-10.197 "
"6686.031 ","-12.300 "
"6709.656 ","-14.461 "
"6733.282 ","-16.719 "
"6756.907 ","-19.092 "
"6780.533 ","-21.452 "
"6804.158 ","-23.689 "
"6827.784 ","-25.926 "
"6851.409 ","-28.097 "
"6875.035 ","-30.055 "
"6898.661 ","-31.821 "
"6922.286 ","-33.455 "
"6945.912 ","-35.027 "
"6969.537 ","-36.700 "
"6993.163 ","-38.403 "
"7016.788 ","-40.218 "
"7040.414 ","-42.056 "
"7064.039 ","-43.740 "
"7087.665 ","-45.166 "
"7111.290 ","-46.192 "
"7134.916 ","-46.785 "
"7158.542 ","-47.115 "
"7182.167 ","-47.281 "
"7205.793 ","-47.502 "
"7229.418 ","-47.896 "
"7253.044 ","-48.471 "
"7276.669 ","-49.252 "
"7300.295 ","-50.192 "
"7323.920 ","-51.166 "
"7347.546 ","-52.052 "
"7371.172 ","-52.677 "
"7394.797 ","-52.850 "
"7418.423 ","-52.135 "
"7442.048 ","-49.006 "
"7465.674 ","-42.197 "
"7489.299 ","-32.405 "
"7512.925 ","-20.847 "
"7536.550 ","-8.806 "
"7560.176 ","0.369 "
"7583.801 ","7.348 "
"7607.427 ","8.978 "
"7631.053 ","4.852 "
"7654.678 ","-1.760 "
"7678.304 ","-8.204 "
"7701.929 ","-12.893 "
"7725.555 ","-14.384 "
"7749.180 ","-12.459 "
"7772.806 ","-8.513 "
"7796.431 ","-3.712 "
"7820.057 ","1.222 "
"7843.682 ","5.667 "
"7867.308 ","9.192 "
"7890.934 ","11.600 "
"7914.559 ","12.841 "
"7938.185 ","13.096 "
"7961.810 ","12.596 "
"7985.436 ","11.593 "
"8009.061 ","10.360 "
"8032.687 ","8.987 "
"8056.312 ","7.499 "
"8079.938 ","5.900 "
"8103.564 ","4.198 "
"8127.189 ","2.436 "
"8150.815 ","0.672 "
"8174.440 ","-1.137 "
"8198.066 ","-2.847 "
"8221.691 ","-4.524 "
"8245.317 ","-6.101 "
"8268.942 ","-7.646 "
"8292.568 ","-9.165 "
"8316.193 ","-10.620 "
"8339.819 ","-12.012 "
"8363.445 ","-13.319 "
"8387.070 ","-14.670 "
"8410.696 ","-16.149 "
"8434.321 ","-17.966 "
"8457.947 ","-20.142 "
"8481.572 ","-22.575 "
"8505.198 ","-25.149 "
"8528.823 ","-27.727 "
"8552.449 ","-30.159 "
"8576.075 ","-32.345 "
"8599.700 ","-34.162 "
"8623.326 ","-35.652 "
"8646.951 ","-36.982 "
"8670.577 ","-38.188 "
"8694.202 ","-39.247 "
"8717.828 ","-40.251 "
"8741.453 ","-41.255 "
"8765.079 ","-42.301 "
"8788.704 ","-43.434 "
"8812.330 ","-44.597 "
"8835.956 ","-45.736 "
"8859.581 ","-46.847 "
"8883.207 ","-47.949 "
"8906.832 ","-49.177 "
"8930.458 ","-50.592 "
"8954.083 ","-52.089 "
"8977.709 ","-53.620 "
"9001.334 ","-55.171 "
"9024.960 ","-56.662 "
"9048.586 ","-57.984 "
"9072.211 ","-59.024 "
"9095.837 ","-59.645 "
"9119.462 ","-59.492 "
"9143.088 ","-57.848 "
"9166.713 ","-54.335 "
"9190.339 ","-49.661 "
"9213.964 ","-44.540 "
"9237.590 ","-39.807 "
"9261.215 ","-35.982 "
"9284.841 ","-33.497 "
"9308.467 ","-32.762 "
"9332.092 ","-33.282 "
"9355.718 ","-33.730 "
"9379.343 ","-33.438 "
"9402.969 ","-31.780 "
"9426.594 ","-28.377 "
"9450.220 ","-23.361 "
"9473.845 ","-17.323 "
"9497.471 ","-10.783 "
"9521.097 ","-4.466 "
"9544.722 ","1.180 "
"9568.348 ","5.605 "
"9591.973 ","8.504 "
"9615.599 ","10.212 "
"9639.224 ","11.218 "
"9662.850 ","11.709 "
"9686.475 ","11.776 "
"9710.101 ","11.502 "
"9733.726 ","10.891 "
"9757.352 ","10.095 "
"9780.978 ","9.172 "
"9804.603 ","8.151 "
"9828.229 ","7.146 "
"9851.854 ","6.106 "
"9875.480 ","5.086 "
"9899.105 ","4.177 "
"9922.731 ","3.293 "
"9946.356 ","2.488 "
