"X(um)","Z(um)"
"0.000 ","234.383 "
"23.589 ","240.335 "
"47.177 ","245.604 "
"70.766 ","250.670 "
"94.355 ","255.819 "
"117.944 ","260.781 "
"141.532 ","265.719 "
"165.121 ","270.390 "
"188.710 ","274.840 "
"212.298 ","278.885 "
"235.887 ","282.382 "
"259.476 ","281.583 "
"283.065 ","274.240 "
"306.653 ","271.901 "
"330.242 ","269.555 "
"353.831 ","267.204 "
"377.419 ","258.263 "
"401.008 ","189.266 "
"424.597 ","35.020 "
"448.186 ","-70.213 "
"471.774 ","-132.901 "
"495.363 ","-135.328 "
"518.952 ","-137.767 "
"542.540 ","-140.224 "
"566.129 ","-142.695 "
"589.718 ","-145.137 "
"613.307 ","-147.406 "
"636.895 ","-149.519 "
"660.484 ","-151.448 "
"684.073 ","-147.315 "
"707.661 ","-135.975 "
"731.250 ","-137.926 "
"754.839 ","-134.959 "
"778.428 ","-125.590 "
"802.016 ","-126.319 "
"825.605 ","-127.260 "
"849.194 ","-127.895 "
"872.782 ","-127.351 "
"896.371 ","-125.856 "
"919.960 ","-123.424 "
"943.549 ","-120.207 "
"967.137 ","-116.528 "
"990.726 ","-112.876 "
"1014.315 ","-109.427 "
"1037.903 ","-106.369 "
"1061.492 ","-103.221 "
"1085.081 ","-99.746 "
"1108.670 ","-96.314 "
"1132.258 ","-93.251 "
"1155.847 ","-90.563 "
"1179.436 ","-88.336 "
"1203.024 ","-86.120 "
"1226.613 ","-83.523 "
"1250.202 ","-80.834 "
"1273.791 ","-77.610 "
"1297.379 ","-73.772 "
"1320.968 ","-69.905 "
"1344.557 ","-66.551 "
"1368.145 ","-63.888 "
"1391.734 ","-61.607 "
"1415.323 ","-59.107 "
"1438.912 ","-56.671 "
"1462.500 ","-54.333 "
"1486.089 ","-51.736 "
"1509.678 ","-48.840 "
"1533.266 ","-45.938 "
"1556.855 ","-43.366 "
"1580.444 ","-41.111 "
"1604.033 ","-39.115 "
"1627.621 ","-37.358 "
"1651.210 ","-35.631 "
"1674.799 ","-34.075 "
"1698.388 ","-32.400 "
"1721.976 ","-30.501 "
"1745.565 ","-28.522 "
"1769.154 ","-26.545 "
"1792.742 ","-24.701 "
"1816.331 ","-22.720 "
"1839.920 ","-20.246 "
"1863.509 ","-17.615 "
"1887.097 ","-15.223 "
"1910.686 ","-12.851 "
"1934.275 ","-10.154 "
"1957.863 ","-7.414 "
"1981.452 ","-5.061 "
"2005.041 ","-3.174 "
"2028.630 ","-1.388 "
"2052.218 ","0.556 "
"2075.807 ","2.621 "
"2099.396 ","4.542 "
"2122.984 ","6.590 "
"2146.573 ","9.007 "
"2170.162 ","11.618 "
