"X(um)","Z(um)"
"0.000 ","-50.327 "
"23.597 ","-52.288 "
"47.195 ","-54.441 "
"70.792 ","-56.914 "
"94.390 ","-59.219 "
"117.987 ","-61.233 "
"141.584 ","-62.671 "
"165.182 ","-62.823 "
"188.779 ","-61.497 "
"212.376 ","-58.752 "
"235.974 ","-54.421 "
"259.571 ","-48.809 "
"283.169 ","-42.749 "
"306.766 ","-36.779 "
"330.363 ","-31.145 "
"353.961 ","-26.039 "
"377.558 ","-21.436 "
"401.156 ","-17.288 "
"424.753 ","-13.611 "
"448.350 ","-9.808 "
"471.948 ","-6.028 "
"495.545 ","-2.875 "
"519.142 ","-0.091 "
"542.740 ","2.616 "
"566.337 ","5.222 "
"589.935 ","7.690 "
"613.532 ","10.132 "
"637.129 ","12.527 "
"660.727 ","14.745 "
"684.324 ","17.008 "
"707.922 ","18.889 "
"731.519 ","20.499 "
"755.116 ","21.931 "
"778.714 ","23.448 "
"802.311 ","24.987 "
"825.908 ","26.660 "
"849.506 ","28.177 "
"873.103 ","29.828 "
"896.701 ","31.697 "
"920.298 ","33.692 "
"943.895 ","35.664 "
"967.493 ","37.287 "
"991.090 ","38.837 "
"1014.688 ","40.353 "
"1038.285 ","41.432 "
"1061.882 ","42.315 "
"1085.480 ","42.865 "
"1109.077 ","43.169 "
"1132.674 ","43.560 "
"1156.272 ","44.061 "
"1179.869 ","44.456 "
"1203.467 ","45.087 "
"1227.064 ","45.900 "
"1250.661 ","46.960 "
"1274.259 ","48.141 "
"1297.856 ","49.164 "
"1321.454 ","49.897 "
"1345.051 ","50.585 "
"1368.648 ","51.060 "
"1392.246 ","51.188 "
"1415.843 ","51.203 "
"1439.440 ","50.898 "
"1463.038 ","50.394 "
"1486.635 ","49.645 "
"1510.233 ","48.531 "
"1533.830 ","46.993 "
"1557.427 ","45.266 "
"1581.025 ","43.409 "
"1604.622 ","41.473 "
"1628.220 ","39.817 "
"1651.817 ","40.192 "
"1675.414 ","40.812 "
"1699.012 ","40.797 "
"1722.609 ","40.781 "
"1746.206 ","40.766 "
"1769.804 ","34.838 "
"1793.401 ","-18.219 "
"1816.999 ","-74.426 "
"1840.596 ","-95.080 "
"1864.193 ","-97.054 "
"1887.791 ","-98.981 "
"1911.388 ","-99.706 "
"1934.986 ","-100.523 "
"1958.583 ","-101.782 "
"1982.180 ","-101.733 "
"2005.778 ","-96.201 "
"2029.375 ","-89.277 "
"2052.972 ","-81.797 "
"2076.570 ","-74.481 "
"2100.167 ","-67.788 "
"2123.765 ","-62.017 "
"2147.362 ","-56.709 "
"2170.959 ","-51.738 "
"2194.557 ","-47.289 "
"2218.154 ","-43.153 "
"2241.752 ","-39.293 "
"2265.349 ","-35.579 "
"2288.946 ","-32.148 "
"2312.544 ","-28.855 "
"2336.141 ","-25.865 "
"2359.738 ","-23.047 "
"2383.336 ","-20.422 "
"2406.933 ","-18.116 "
"2430.531 ","-16.109 "
"2454.128 ","-14.272 "
"2477.725 ","-12.586 "
"2501.323 ","-10.942 "
"2524.920 ","-9.406 "
"2548.518 ","-7.757 "
"2572.115 ","-6.038 "
"2595.712 ","-4.127 "
"2619.310 ","-2.193 "
"2642.907 ","-0.190 "
"2666.504 ","1.796 "
"2690.102 ","3.860 "
"2713.699 ","5.929 "
"2737.297 ","7.949 "
"2760.894 ","9.989 "
"2784.491 ","12.249 "
"2808.089 ","14.712 "
"2831.686 ","17.348 "
"2855.284 ","19.906 "
"2878.881 ","22.483 "
"2902.478 ","24.930 "
"2926.076 ","26.985 "
"2949.673 ","28.697 "
"2973.270 ","30.185 "
"2996.868 ","31.345 "
"3020.465 ","32.517 "
"3044.063 ","33.664 "
"3067.660 ","34.575 "
"3091.257 ","35.402 "
"3114.855 ","36.110 "
"3138.452 ","36.612 "
"3162.050 ","36.984 "
"3185.647 ","37.277 "
"3209.244 ","37.662 "
"3232.842 ","38.007 "
"3256.439 ","38.376 "
"3280.036 ","38.813 "
"3303.634 ","39.226 "
"3327.231 ","39.413 "
"3350.829 ","39.401 "
"3374.426 ","39.086 "
"3398.023 ","38.380 "
"3421.621 ","37.364 "
"3445.218 ","36.162 "
"3468.816 ","34.794 "
"3492.413 ","33.413 "
"3516.010 ","32.024 "
"3539.608 ","30.501 "
"3563.205 ","28.737 "
"3586.802 ","26.572 "
"3610.400 ","23.995 "
"3633.997 ","21.316 "
"3657.595 ","18.655 "
"3681.192 ","16.049 "
"3704.789 ","13.186 "
"3728.387 ","6.842 "
"3751.984 ","-1.331 "
"3775.582 ","-10.736 "
"3799.179 ","-20.595 "
"3822.776 ","-30.293 "
"3846.374 ","-39.498 "
"3869.971 ","-48.294 "
"3893.568 ","-53.616 "
"3917.166 ","-58.211 "
"3940.763 ","-62.024 "
"3964.361 ","-64.674 "
