X,Z
3.1545981764793396,103.12270708694086
3.8884550535881726,97.85807973078954
4.6223119306970055,94.02399555475677
5.356168807805837,91.62045455884254
6.090025684914671,90.64745674304413
6.823882562023503,91.10500210736427
7.557739439132335,92.99309065180023
8.291596316241169,96.31172237635474
9.02545319335,101.06089728102597
9.759310070458833,107.24061536581667
10.493166947567666,114.85087663072136
11.227023824676499,123.89168107574551
11.96088070178533,134.3630287008864
12.694737578894163,146.2649195061431
13.428594456002996,159.59735349151924
14.162451333111829,174.36033065701122
14.896308210220662,188.74353275410067
15.630165087329493,200.555451848124
16.364021964438326,209.79119921260008
17.097878841547157,216.45077484753165
17.83173571865599,220.53417875291416
18.565592595764823,222.04141092875125
19.299449472873658,220.9724713750402
20.03330634998249,217.39228051836562
20.76716322709132,213.1430196712463
21.501020104200155,209.06672490456822
22.234876981308986,205.16339621832958
22.96873385841782,201.43303361253493
23.702590735526652,197.87597263235511
24.436447612635487,194.59953173076337
25.170304489744318,191.68926246878073
25.90416136685315,189.14516484641263
26.638018243961984,186.96723886365726
27.371875121070815,185.15548452051462
28.105731998179646,183.70990181698653
28.83958887528848,182.63049075307026
29.573445752397312,181.91725132876672
30.307302629506147,181.57018354407683
31.041159506614978,181.58928739900148
31.77501638372381,181.97456289353795
32.508873260832644,182.72588915325105
33.24273013794147,183.60037115859632
33.976587015050306,184.37595781493292
34.71044389215914,185.05264912225812
35.444300769267976,185.630445080571
36.1781576463768,186.10934568987432
36.91201452348564,186.48935095016714
37.64587140059447,186.77046086144765
38.3797282777033,186.95267542371676
39.113585154812135,187.03599463697628
39.84744203192097,187.0204185012235
40.58129890902981,186.90594701646114
41.31515578613863,186.69258018268738
42.04901266324747,186.3803179999013
42.7828695403563,185.96916046810384
43.51672641746514,185.6627103481742
44.250583294573964,185.8304630221628
44.98444017168279,186.48010199482906
45.718297048791634,187.61162726617295
46.45215392590046,189.22503883619174
47.186010803009296,191.3203367048891
47.91986768011813,193.89752087226134
48.65372455722696,196.95659133831396
49.3875814343358,200.4975481030433
50.12143831144463,204.52039116644846
50.855295188553455,209.02512052853126
51.58915206566229,213.93823022000197
52.323008942771125,217.3937696336725
53.05686581987995,218.57773488652492
53.790722696988794,217.49012597856108
54.52457957409762,214.1309429097837
55.25843645120646,208.50018568018731
55.992293328315284,200.5978542897774
56.72615020542412,190.4239487385512
57.460007082532954,177.978469026506
58.19386395964179,163.26141515364725
58.927720836750616,146.27278711997042
59.66157771385945,131.27592852959606
60.39543459096828,124.26060819781378
61.12929146807711,125.26843945861583
61.86314834518595,134.29139491910882
62.59700522229478,146.24965376661748
63.33086209940361,156.8168555573884
64.06471897651245,165.99300029141887
64.79857585362127,173.7780879687116
65.53243273073011,180.17211858926294
66.26628960783894,185.08037002284436
67.00014648494778,188.35842234107804
67.73400336205661,190.00474471323741
68.46786023916545,190.01933713932794
69.20171711627427,188.402199619346
69.93557399338312,185.15333215329338
70.66943087049194,180.2727347411701
71.40328774760077,173.77999720838397
72.1371446247096,166.8316348963035
72.87100150181844,160.10410841951125
73.60485837892726,153.59741777801173
74.3387152560361,147.3115629718004
75.07257213314493,141.24654400088184
